lng	lat	count
113.308273	23.063222	95
113.240851	23.147903	53
113.319528	23.147967	103
113.258816	23.17062	79
113.254321	23.118975	156
113.373528	23.148062	414
113.315906	23.102431	117
113.366782	23.143922	15
113.351034	23.172813	3599
113.304009	23.103628	0
113.274177	23.159088	3
113.274542	23.110717	100
113.335278	23.117007	364
113.332775	23.114927	153
113.262108	23.129365	0
113.27454	23.090051	224
113.391514	23.164604	3
113.258817	23.183012	30
113.261058	23.092112	296
113.391531	23.117074	292
113.344279	23.102559	3
113.398254	23.166674	36
113.366783	23.1811	33
113.351023	23.117041	635
113.285784	23.129323	18
113.328565	23.152152	50
113.335218	23.126576	50
113.279046	23.130703	32
113.404988	23.092297	82
113.328532	23.183097	375
113.336091	23.184897	82
113.352182	23.120658	6
113.276717	23.139139	132
113.384764	23.06335	30
113.393746	23.191471	1146
113.366785	23.210009	56
113.330778	23.114932	413
113.376569	23.133759	21
113.407238	23.160479	144
113.380277	23.203832	144
113.26235	23.118902	32
113.393763	23.195584	3
113.346528	23.090164	27
113.38474	23.077894	3
113.360275	23.145943	74
113.373529	23.168717	18
113.333483	23.090124	96
113.326276	23.096325	368
113.321762	23.189683	6
113.328535	23.220264	6
113.384856	23.073296	0
113.362279	23.187293	257
113.314544	23.116972	875
113.3333	23.10462	18
113.335279	23.119073	547
113.380273	23.150135	6
113.270049	23.160297	175
113.238604	23.114847	73
113.374038	23.096402	0
113.265556	23.164426	35
113.34203	23.168612	30
113.41397	23.11916	151
113.319525	23.102513	182
113.279035	23.131736	150
113.238675	23.152009	98
113.35553	23.114978	1043
113.364531	23.139786	83
113.297031	23.209889	9
113.36228	23.119121	567
113.314537	23.121106	375
113.405137	23.110807	121
113.250581	23.094343	10
113.374163	23.102588	8
113.306022	23.057018	22
113.270124	23.112133	70
113.267799	23.108646	132
113.33207	23.086309	11
113.362285	23.193484	85
113.366776	23.083997	153
113.302204	23.124911	256
113.276766	23.141737	202
113.315415	23.141857	74
113.337533	23.172788	1182
113.373523	23.075739	409
113.2678	23.118978	176
113.339602	23.126413	15
113.324032	23.195479	673
113.272363	23.203325	19
113.326304	23.210657	37
113.294816	23.065773	124
113.279044	23.207802	361
113.333466	23.207097	10
113.288406	23.084005	24
113.294694	23.069334	256
113.324029	23.150041	84
113.396006	23.135687	188
113.319366	23.154568	18
113.321782	23.20167	50
113.364535	23.104214	0
113.285779	23.065259	122
113.270052	23.193341	97
113.321782	23.205799	4
113.362286	23.201743	391
113.398253	23.148083	21
113.355533	23.148034	490
113.353277	23.069508	107
113.343898	23.07806	48
113.41397	23.104696	52
113.380272	23.129476	6285
113.339787	23.220286	23
113.33029	23.106295	89
113.283531	23.065257	97
113.411728	23.143953	3
113.333031	23.160386	366
113.305507	23.095198	3
113.265551	23.09418	52
113.363045	23.095286	0
113.292532	23.100401	267
113.303774	23.092153	82
113.317269	23.141874	146
113.310522	23.063227	3
113.355679	23.135467	522
113.245341	23.149966	23
113.265555	23.149966	58
113.353284	23.168686	373
113.290279	23.0942	188
113.339783	23.174857	175
113.387037	23.110913	6
113.247577	23.178842	49
113.353285	23.179013	3
113.305883	23.127571	169
113.351744	23.092246	0
113.420703	23.098493	0
113.265553	23.114844	18
113.252078	23.162358	139
113.344283	23.160408	379
113.305774	23.063356	11
113.319532	23.205795	8
113.33523	23.210783	9
113.242568	23.127453	194
113.252429	23.097775	46
113.243093	23.110712	80
113.319526	23.123176	257
113.326277	23.121122	309
113.328529	23.131457	1036
113.341677	23.161392	68
113.350469	23.088154	51
113.263309	23.164425	5
113.315135	23.182972	31
113.258818	23.193337	90
113.364534	23.183162	11
113.303718	23.220015	84
113.312776	23.12523	493
113.37802	23.069544	3
113.348779	23.098434	75
113.344278	23.083959	183
113.271729	23.140969	32
113.418459	23.100561	457
113.335275	23.057071	9
113.324028	23.129382	1264
113.407237	23.150151	173
113.301533	23.218152	605
